Países,Código NCM,Descrição NCM,Unidade estatística,Ano,Valor_FOB_USD,Peso_Kg,Quantidade
Canadá,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,0,0,0
Índia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,72,1119,0
Nova Zelândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,9637,4320,4
Reino Unido,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,64,38,5
Estados Unidos,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,41283,19800,20
Dinamarca,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,773250,1298405,1355
Austrália,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,4826,2198,2
Suíça,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,43466652,124735328,124971
China,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2021,0,0,0
Tailândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,0,0,0
Dinamarca,22072019,Outro álcool etílico desnaturado,LITRO,2021,703,120,181
Filipinas,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,0,0,0
Suíça,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,0,0,0
França,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2021,0,0,0
Malásia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,0,0,0
Índia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,0,0,0
Egito,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,0,0,0
Estados Unidos,22072019,Outro álcool etílico desnaturado,LITRO,2021,151589,119217,146906
China,22072019,Outro álcool etílico desnaturado,LITRO,2021,1032,191,348
Dinamarca,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,249,22,10
Tailândia,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2021,0,0,0
Tailândia,22072019,Outro álcool etílico desnaturado,LITRO,2021,948,169,169
Índia,22072019,Outro álcool etílico desnaturado,LITRO,2021,24078,38546,47757
Alemanha,22072019,Outro álcool etílico desnaturado,LITRO,2021,303,95,102
Canadá,22072019,Outro álcool etílico desnaturado,LITRO,2021,13630,19780,24526
Filipinas,22072019,Outro álcool etílico desnaturado,LITRO,2021,550,114,88
Itália,22072019,Outro álcool etílico desnaturado,LITRO,2021,73,9,9
Suécia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,49,30,0
Suíça,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2021,21,34,5
China,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,20,5,0
Reino Unido,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2021,18,7,5
Filipinas,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2021,11,1,1
Itália,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,2,0,0
França,22072019,Outro álcool etílico desnaturado,LITRO,2021,0,0,0
Colômbia,22072019,Outro álcool etílico desnaturado,LITRO,2021,0,0,0
Estados Unidos,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2021,0,0,0
Alemanha,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2021,0,0,0
Nova Zelândia,22072019,Outro álcool etílico desnaturado,LITRO,2021,0,0,0
Estados Unidos,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,101969410,200945444,198148
Colômbia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,29721817,92369999,92859
Tailândia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,1194,1153,0
Canadá,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,13731426,25388113,24719
China,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,19829198,66093585,66048
Marrocos,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,217,402,0
Malásia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,150541,452018,461
França,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,6781214,10069570,9964
Alemanha,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,1842910,2834036,2845
Reino Unido,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,1617297,2426686,2775
Itália,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,1926208,2894554,352920
Nova Zelândia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,101374,136925,110
Reino Unido,22072019,Outro álcool etílico desnaturado,LITRO,2020,475230,510912,630142
Austrália,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,418163,571260,548
Alemanha,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,847611,480240,480
Filipinas,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,213838,261309,341
